"date","month","n_user_d1","n_newuser_d1","n_session_d1","n_newsession_d1","n_screen_d1","tot_timeonsite_d1"
"2021-01-01","202101",13538,1711,15706,1711,201909,4408816
"2021-01-02","202101",13021,1879,14787,1879,197055,4521305
"2021-01-03","202101",12906,1784,14537,1784,195977,4416110
"2021-01-04","202101",27938,3580,34657,3580,440272,10651945
"2021-01-05","202101",28069,3641,34935,3641,438492,10590049
"2021-01-06","202101",24445,3239,30265,3239,386613,9471878
"2021-01-07","202101",21763,2794,26731,2794,330163,7977750
"2021-01-08","202101",23046,2895,28773,2895,353498,8556249
"2021-01-09","202101",14860,1998,17881,1998,238290,5754175
"2021-01-10","202101",13440,1840,15410,1840,206272,4720966
"2021-01-11","202101",27398,3560,34445,3560,430252,10468683
"2021-01-12","202101",24698,3251,30947,3251,390079,9554150
"2021-01-13","202101",23988,3140,29763,3140,372683,9127903
"2021-01-14","202101",24657,3506,30221,3506,386309,9623387
"2021-01-15","202101",26359,3656,32150,3656,406261,9822698
"2021-01-16","202101",15545,2299,17888,2299,236705,5644123
"2021-01-17","202101",13233,1913,14918,1913,203314,4702437
"2021-01-18","202101",24809,3389,30395,3389,386669,9688819
"2021-01-19","202101",25186,3400,30420,3400,389419,9687363
"2021-01-20","202101",26476,3562,32100,3562,407733,10090210
"2021-03-14","202103",10237,1426,11527,1426,148665,3668284
"2021-03-15","202103",23327,3057,27942,3057,345969,8745564
"2021-03-16","202103",21403,2884,25786,2884,327052,8375000
"2021-03-17","202103",21304,2808,25319,2808,318231,8079975
"2021-03-18","202103",20978,2685,24852,2685,306889,8089060
"2021-03-19","202103",19944,2670,23776,2670,293262,7944000
"2021-03-20","202103",12445,1767,14164,1767,181163,4572041
"2021-03-21","202103",10616,1505,11925,1505,158115,3967115
"2021-03-22","202103",22705,2940,27400,2940,346312,8993185
"2021-03-23","202103",22974,3162,27541,3162,331829,8523067
"2021-03-24","202103",21902,2963,26030,2963,323556,8431747
"2021-03-25","202103",26187,3288,31278,3288,387534,9745362
"2021-03-26","202103",21482,2705,26079,2705,317702,8223825
"2021-03-27","202103",12414,1632,14247,1632,178172,4383814
"2021-03-28","202103",11005,1526,12362,1526,161093,3928881
"2021-03-29","202103",23998,2949,28808,2949,360017,9205442
"2021-03-30","202103",23533,3001,28197,3001,356217,9205151
"2021-03-31","202103",27556,3121,33236,3121,411766,10227817
"2021-04-01","202104",23499,2555,28577,2555,339859,8655476
"2021-04-02","202104",18835,2188,22657,2188,272400,7086179
"2021-04-03","202104",11924,1582,13615,1582,169570,4244889
"2021-04-04","202104",10569,1340,11861,1340,149915,3594787
"2021-04-05","202104",22123,2658,26744,2658,326683,8318066
"2021-04-06","202104",20993,2628,25303,2628,307783,7912501
"2021-04-07","202104",20069,2488,23910,2488,286150,7439515
"2021-04-08","202104",20045,2591,23686,2591,288618,7592578
"2021-05-06","202105",22988,3692,27343,3692,347889,7544970
"2021-05-07","202105",20933,3385,25088,3385,318194,6977014
"2021-05-08","202105",12458,2028,14073,2028,179372,3766423
"2021-05-09","202105",11028,1719,12233,1719,156155,3261311
"2021-05-10","202105",25879,4141,30998,4141,398184,8493510
"2021-05-11","202105",23838,3867,28608,3867,362710,7983544
"2021-05-12","202105",21545,3554,25635,3554,324963,7205397
"2021-05-13","202105",21745,3727,25915,3727,331999,7386919
"2021-05-14","202105",22053,5209,25917,5209,324064,6994997
"2021-05-15","202105",12378,2251,13931,2251,173949,3666788
"2021-05-16","202105",10987,1874,12189,1874,155580,3257548
"2021-05-17","202105",25400,5048,30316,5048,393244,8572498
"2021-05-18","202105",24333,5731,28880,5731,366126,8317362
"2021-05-19","202105",14297,2689,16234,2689,205291,4346929
"2021-05-20","202105",28571,5682,33825,5682,438217,9744378
"2021-05-21","202105",27091,5604,32258,5604,406060,8962271
"2021-05-22","202105",13506,2370,15311,2370,192022,4103517
"2021-05-23","202105",11726,1938,13129,1938,164583,3472893
"2021-05-24","202105",27631,5701,33039,5701,423771,9409781
"2021-05-25","202105",29904,4907,36086,4907,463477,9996855
"2021-05-26","202105",27784,6098,33288,6098,415809,9095078
"2021-05-27","202105",26075,4712,30916,4712,392476,8999672
"2021-05-28","202105",24795,5488,29177,5488,361084,8133930
"2021-05-29","202105",13153,2208,14845,2208,177595,3820773
"2021-05-30","202105",11758,1901,13068,1901,163708,3398990
"2021-05-31","202105",31127,5971,37149,5971,491731,10347803
"2021-06-01","202106",27076,4137,32941,4137,416633,9047359
"2021-06-02","202106",22896,3767,27269,3767,340623,7560667
"2021-06-03","202106",21182,3428,25152,3428,312046,6987698
"2021-06-04","202106",19630,3131,23307,3131,285635,6328795
"2021-06-05","202106",11712,1832,13303,1832,160072,3346982
"2021-06-06","202106",10397,1627,11538,1627,142009,2931123
"2021-06-07","202106",22911,3471,27414,3471,341411,7638086
"2021-06-08","202106",22833,3602,27434,3602,344160,7855340
"2021-06-09","202106",20939,3241,24862,3241,307026,6820697
"2021-06-10","202106",24362,4595,28799,4595,358177,8116321
"2021-04-09","202104",19140,2430,22836,2430,276443,7212896
"2021-04-10","202104",11350,1557,13004,1557,158727,3885423
"2021-04-11","202104",9949,1335,11163,1335,141791,3431121
"2021-04-12","202104",22134,2846,26536,2846,326736,8321627
"2021-04-13","202104",21227,2818,25282,2818,310627,7900822
"2021-04-14","202104",20565,2629,24615,2629,300739,7779240
"2021-04-15","202104",22323,2891,26591,2891,326256,8583831
"2021-04-16","202104",20613,2609,24835,2609,302790,7857326
"2021-04-17","202104",11940,1608,13644,1608,169761,4163838
"2021-04-18","202104",10347,1385,11632,1385,146804,3448282
"2021-04-19","202104",21746,2738,26149,2738,323858,8170302
"2021-04-20","202104",22952,2748,27817,2748,337731,8496401
"2021-04-21","202104",22242,2643,26680,2643,320375,8002126
"2021-04-22","202104",22349,2920,26563,2920,326417,8269955
"2021-04-23","202104",21871,2624,26115,2624,316315,7875337
"2021-04-24","202104",11730,1509,13306,1509,164776,3920206
"2021-04-25","202104",10854,1403,12071,1403,151754,3500469
"2021-04-26","202104",26105,3146,31668,3146,380701,9435715
"2021-04-27","202104",24062,2905,29381,2905,356116,8743128
"2021-04-28","202104",24341,2950,29269,2950,353744,8928442
"2021-04-29","202104",22210,2855,26482,2855,323711,8101042
"2021-04-30","202104",24762,2840,29488,2840,370761,8808218
"2021-05-01","202105",15035,2152,17140,2152,220574,4544670
"2021-05-02","202105",12678,1770,14106,1770,179723,3680303
"2021-05-03","202105",27130,3782,33117,3782,429002,9726051
"2021-05-04","202105",22558,3695,26828,3695,338981,7574834
"2021-05-05","202105",13756,2231,15552,2231,195551,4020662
"2021-01-21","202101",28026,3829,34437,3829,435880,10665258
"2021-01-22","202101",26386,3890,32235,3890,414439,10241557
"2021-01-23","202101",15608,2469,17974,2469,238859,5458047
"2021-01-24","202101",13817,2060,15600,2060,209375,4804771
"2021-01-25","202101",32712,4217,40393,4217,506469,11931736
"2021-01-26","202101",29445,3838,36513,3838,466026,11329035
"2021-01-27","202101",27803,3646,33827,3646,428109,10256473
"2021-01-28","202101",25581,3345,30949,3345,389627,9435927
"2021-01-29","202101",26031,3346,31499,3346,399356,9789797
"2021-01-30","202101",15203,2271,17377,2271,229269,5302185
"2021-01-31","202101",14143,1886,15837,1886,211635,4708278
"2021-02-01","202102",30778,3850,38044,3850,477708,11674355
"2021-02-02","202102",25407,3411,30906,3411,395627,9597116
"2021-02-03","202102",21889,2971,26515,2971,341302,8634092
"2021-02-04","202102",21153,3015,25430,3015,322262,7962265
"2021-02-05","202102",22132,2876,26678,2876,329012,7885997
"2021-02-06","202102",14001,1909,15971,1909,204610,4599967
"2021-02-07","202102",12190,1658,13608,1658,179988,4076021
"2021-02-08","202102",23437,3152,28406,3152,356568,8766935
"2021-02-09","202102",21584,3068,26153,3068,328245,8383936
"2021-02-10","202102",24022,3125,28730,3125,360173,8515587
"2021-02-11","202102",11839,1746,13346,1746,169227,3658846
"2021-02-12","202102",9499,1484,10640,1484,139119,3051337
"2021-02-13","202102",9948,1412,11080,1412,141392,3136537
"2021-02-14","202102",11414,1501,12659,1501,167835,3651054
"2021-02-15","202102",28048,3628,34068,3628,434925,10404227
"2021-02-16","202102",25505,3330,30948,3330,395685,9596803
"2021-02-17","202102",24329,3254,29139,3254,373282,9204745
"2021-02-18","202102",23718,3283,28081,3283,363190,8857877
"2021-02-19","202102",24078,3238,28840,3238,365326,8977783
"2021-02-20","202102",14054,1976,15820,1976,196431,4489525
"2021-02-21","202102",9272,1566,10249,1566,137184,3075500
"2021-02-22","202102",25826,3385,31276,3385,395700,9515638
"2021-02-23","202102",25269,3215,30467,3215,386039,9327491
"2021-02-24","202102",25438,3339,30164,3339,381533,9122103
"2021-02-25","202102",30705,3831,37027,3831,471007,11060127
"2021-02-26","202102",27805,3227,33590,3227,415595,9906407
"2021-02-27","202102",14945,1843,16881,1843,212893,4715160
"2021-02-28","202102",13326,1622,14825,1622,189110,4097906
"2021-03-01","202103",16101,2021,18115,2021,237809,5169597
"2021-03-02","202103",30549,3445,37652,3445,467925,11321768
"2021-03-03","202103",25062,3188,30101,3188,373146,9398210
"2021-03-04","202103",19769,2763,23594,2763,294724,7923847
"2021-03-05","202103",20435,2706,24568,2706,297533,7750854
"2021-03-06","202103",11946,1706,13572,1706,171478,4320634
"2021-03-07","202103",10299,1505,11520,1505,151032,3728924
"2021-03-08","202103",20995,3051,25272,3051,318857,8283655
"2021-03-09","202103",20742,2841,24850,2841,309304,8123826
"2021-03-10","202103",23822,3021,28663,3021,357245,9096973
"2021-03-11","202103",20566,2840,24669,2840,307594,7992646
"2021-03-12","202103",20698,2795,24722,2795,307666,7967828
"2021-03-13","202103",11361,1585,12884,1585,161160,4000071
