"screen_name","date","n_screen","n_session","n_duration","n_exit","tot_duration","screen_per_session"
"HOME","2021-01-03",28149,14084,17823,1367,2334453.886,2
"HOME","2021-01-04",64778,33843,39796,2976,5858149.976,1.91
"HOME","2021-01-01",29421,15260,18112,1401,2296579.109,1.93
"HOME","2021-01-05",64245,33992,39052,3214,5611139.521,1.89
"HOME","2021-01-02",28932,14374,18495,1380,2406363.295,2.01
"장바구니","2021-01-03",22665,10014,22490,4099,2596393.953,2.26
"장바구니","2021-01-04",54427,24367,53948,10349,6451852.601,2.23
"장바구니","2021-01-01",23187,10655,22970,4381,2510397.573,2.18
"장바구니","2021-01-05",53339,24132,52791,10222,6336305.242,2.21
"장바구니","2021-01-02",23111,10129,22896,4215,2680804.648,2.28
"내정보","2021-01-01",23672,8437,23670,1209,2327585.351,2.81
"내정보","2021-01-04",41799,15853,41796,2247,4236551.215,2.64
"내정보","2021-01-02",21257,7666,21253,1089,2210643.748,2.77
"내정보","2021-01-05",44306,16644,44303,2417,4534279.109,2.66
"내정보","2021-01-03",22127,7750,22126,1112,2274550.698,2.86
"메뉴 04","2021-01-03",20971,8415,20957,3110,2172017.341,2.49
"메뉴 04","2021-01-04",49596,21090,49578,7036,5441924.316,2.35
"메뉴 04","2021-01-01",21987,9040,21980,3412,2171545.222,2.43
"메뉴 04","2021-01-05",48264,20506,48236,7167,5145683.45000001,2.35
"메뉴 04","2021-01-02",21001,8470,20994,3181,2181265.256,2.48
"계약상세","2021-01-01",23575,6759,23574,893,1952196.235,3.49
"계약상세","2021-01-04",39766,12286,39762,1793,3387668.019,3.24
"계약상세","2021-01-02",21644,6095,21643,771,1867194.784,3.55
"계약상세","2021-01-05",43165,13107,43155,1832,3711972.529,3.29
"계약상세","2021-01-03",23028,6157,23023,803,1908833.282,3.74
"메뉴 32","2021-01-03",11316,4157,11315,692,1558784.831,2.72
"메뉴 32","2021-01-04",18311,7663,18311,1309,2566049.404,2.39
"메뉴 32","2021-01-01",11209,4421,11209,857,1547335.752,2.54
"메뉴 32","2021-01-05",20163,8412,20163,1444,2876390.651,2.4
"메뉴 32","2021-01-02",10663,4118,10662,679,1501829.4,2.59
"메뉴 01","2021-01-01",4952,3308,4951,487,512416.852,1.5
"메뉴 01","2021-01-04",12485,8313,12485,1027,1496651.607,1.5
"메뉴 01","2021-01-02",4730,3167,4730,421,545371.887,1.49
"메뉴 01","2021-01-05",11073,7469,11071,849,1300332.897,1.48
"메뉴 01","2021-01-03",5095,3361,5095,429,590782.983,1.52
"메뉴 03","2021-01-02",2634,1410,2634,77,528786.255,1.87
"메뉴 03","2021-01-05",6679,3707,6679,236,1233250.311,1.8
"메뉴 03","2021-01-03",2254,1157,2254,81,471179.455999999,1.95
"메뉴 03","2021-01-01",1838,926,1837,52,339408.352,1.98
"메뉴 03","2021-01-04",7482,3891,7481,247,1429320.513,1.92
"메뉴 11","2021-01-01",3081,1596,3081,168,415589.24,1.93
"메뉴 11","2021-01-04",7860,4075,7860,369,1121695.219,1.93
"메뉴 11","2021-01-02",2431,1296,2429,131,359234.68,1.88
"메뉴 11","2021-01-05",6767,3379,6767,362,911988.167999999,2
"메뉴 11","2021-01-03",2562,1361,2562,139,404722.465,1.88
"메뉴 23","2021-01-01",2230,1525,2230,87,207366.325,1.46
"메뉴 23","2021-01-04",4599,3196,4598,185,481352.233,1.44
"메뉴 23","2021-01-02",2460,1669,2460,93,243992.207,1.47
"메뉴 23","2021-01-05",4543,3124,4539,190,455155.244,1.45
"메뉴 23","2021-01-03",2344,1553,2343,92,226079.243000001,1.51
"메뉴 13","2021-01-03",2052,1168,2052,136,289256.924,1.76
"메뉴 13","2021-01-04",4303,2487,4302,276,650921.845,1.73
"메뉴 13","2021-01-01",2335,1295,2335,158,284599.453999999,1.8
"메뉴 13","2021-01-05",4533,2558,4533,305,622123.087,1.77
"메뉴 13","2021-01-02",2198,1132,2198,124,283520.019,1.94
"메뉴 00","2021-01-02",1732,701,1320,108,168761.016,2.47
"메뉴 00","2021-01-05",3830,1636,2913,225,349625.133,2.34
"메뉴 00","2021-01-03",1700,693,1317,111,140717.155,2.45
"메뉴 00","2021-01-01",1803,739,1358,105,137536.78,2.44
"메뉴 00","2021-01-04",3791,1652,2834,234,381108.125,2.29
"본인인증","2021-01-01",1492,1297,1297,67,160562.589,1.15
"본인인증","2021-01-04",3195,2771,2825,114,408947.051,1.15
"본인인증","2021-01-02",1471,1285,1310,71,174500.198,1.14
"본인인증","2021-01-05",3129,2681,2765,128,404653.142,1.17
"본인인증","2021-01-03",1527,1324,1331,64,175694.225,1.15
"인증센터","2021-01-01",1853,1134,1842,16,210977.392,1.63
"인증센터","2021-01-04",3947,2318,3937,67,507381.457,1.7
"인증센터","2021-01-02",1870,1145,1864,21,244923.013,1.63
"인증센터","2021-01-05",3816,2297,3808,51,483248.524,1.66
"인증센터","2021-01-03",1698,1029,1695,22,191135.335,1.65
"메뉴 54","2021-01-03",1465,877,1465,23,377539.033,1.67
"메뉴 54","2021-01-04",4653,2831,4653,72,1145371.111,1.64
"메뉴 54","2021-01-01",1152,669,1152,18,276248.653,1.72
"메뉴 54","2021-01-05",4039,2675,4039,88,976591.399999999,1.51
"메뉴 54","2021-01-02",1753,1090,1753,26,419356.388,1.61
"메뉴 38","2021-01-02",2829,1662,2801,87,256997.845,1.7
"메뉴 38","2021-01-05",5422,3195,5361,166,523103.334999999,1.7
"메뉴 38","2021-01-03",2592,1544,2569,52,218778.531,1.68
"메뉴 38","2021-01-01",2557,1513,2542,66,196042.822,1.69
"메뉴 38","2021-01-04",5338,3200,5292,142,483753.025,1.67
"메뉴 22","2021-01-03",1482,1309,1482,12,163468.44,1.13
"메뉴 22","2021-01-01",1430,1295,1430,11,148830.095,1.1
"메뉴 22","2021-01-04",3025,2656,3025,27,315486.771,1.14
"메뉴 22","2021-01-05",2975,2605,2975,16,320516.229,1.14
"메뉴 22","2021-01-02",1557,1388,1557,6,146027.613,1.12
"메뉴 33","2021-01-03",1155,767,1155,17,380819.197,1.51
"메뉴 33","2021-01-01",864,566,864,18,269315.864,1.53
"메뉴 33","2021-01-04",3780,2509,3780,53,1175633.205,1.51
"메뉴 33","2021-01-05",3272,2372,3272,54,1030337.36,1.38
"메뉴 33","2021-01-02",1422,965,1422,26,424280.336,1.47
"메뉴 44","2021-01-02",1419,951,1418,130,211201.762,1.49
"메뉴 44","2021-01-05",3481,2495,3480,366,475952.731,1.4
"메뉴 44","2021-01-03",1245,915,1245,154,183412.624,1.36
"메뉴 44","2021-01-01",1830,1280,1829,175,218386.185,1.43
"메뉴 44","2021-01-04",3280,2342,3280,331,480612.267,1.4
"메뉴 55","2021-01-03",1320,752,1320,77,212701.547,1.76
"메뉴 55","2021-01-04",3305,1629,3304,215,501664.221,2.03
"메뉴 55","2021-01-01",1479,780,1478,107,210671.842,1.9
"메뉴 55","2021-01-05",3573,1707,3573,224,539098.922999999,2.09
"메뉴 55","2021-01-02",1478,787,1478,90,213055.278,1.88
"메뉴 66","2021-01-03",1404,1298,1404,8,242074.053,1.08
"메뉴 66","2021-01-04",2876,2638,2875,15,478535.981,1.09
"메뉴 66","2021-01-01",1360,1283,1360,2,225261.968,1.06
"메뉴 66","2021-01-05",2812,2579,2812,10,488997.053,1.09
"메뉴 66","2021-01-02",1480,1380,1479,3,236004.673,1.07
"메뉴 77","2021-01-01",919,744,919,22,122720.776,1.24
"메뉴 77","2021-01-04",4071,3339,4071,76,740145.534,1.22
"메뉴 77","2021-01-02",1009,816,1009,30,162042.324,1.24
"메뉴 77","2021-01-05",3259,2740,3259,62,590383.651,1.19
"메뉴 77","2021-01-03",1031,864,1031,29,181020.331,1.19
"메뉴 99","2021-01-01",746,509,746,23,263309.386,1.47
"메뉴 99","2021-01-04",3476,2382,3476,103,1174855.905,1.46
"메뉴 99","2021-01-02",1314,912,1314,34,425703.321,1.44
"메뉴 99","2021-01-05",2992,2228,2992,58,1042365.302,1.34
"메뉴 99","2021-01-03",1049,725,1049,29,385752.522,1.45
"메뉴 56","2021-01-03",1653,943,1653,45,293343.608,1.75
"메뉴 56","2021-01-04",3251,1908,3251,83,600293.809,1.7
"메뉴 56","2021-01-01",1647,951,1647,37,297196.017,1.73
"메뉴 56","2021-01-05",3695,2060,3695,95,631934.794999999,1.79
"메뉴 56","2021-01-02",1557,929,1557,35,264712.156,1.68
"메뉴 46","2021-01-03",1079,644,1079,15,182682.54,1.68
"메뉴 46","2021-01-04",2257,1443,2256,45,377247.388,1.56
"메뉴 46","2021-01-01",1089,653,1089,23,158835.815,1.67
"메뉴 46","2021-01-05",2223,1390,2223,51,373437.651000001,1.6
"메뉴 46","2021-01-02",1156,638,1155,24,180164.735,1.81
